,Unnamed: 0,objectid_1,toponimo,n_id,estado,sinal_vert,sinal_info_vert,n_lugares,x,y,geometry
150,150,203,AFMAG0,208,ATIVO,,SIM,10,-8.583959798839192,41.17540697211448,POINT (-8.583959798839192 41.17540697211448)
151,151,175,Rua das Sobreiras,180,ATIVO,NAO,SIM,10,-8.660723821219372,41.147312776945874,POINT (-8.660723821219372 41.147312776945874)
152,152,208,RHSRE0,213,ATIVO,,SIM,10,-8.591840869942116,41.17716247328966,POINT (-8.591840869942116 41.17716247328966)
153,153,207,RHSRE0,212,ATIVO,,SIM,10,-8.5904229081117,41.17721194948748,POINT (-8.5904229081117 41.17721194948748)
154,154,191,ACXAN0,196,ATIVO,,SIM,10,-8.63324342330498,41.17306677629274,POINT (-8.63324342330498 41.17306677629274)
155,155,192,ACXAN0,197,ATIVO,,SIM,10,-8.634705542187794,41.17536126921223,POINT (-8.634705542187794 41.17536126921223)
156,156,193,ACONG0,198,ATIVO,,SIM,10,-8.634955180139784,41.17575631230239,POINT (-8.634955180139784 41.17575631230239)
157,157,194,ACONG0,199,ATIVO,,SIM,10,-8.634477779940982,41.17885831464893,POINT (-8.634477779940982 41.17885831464893)
158,158,195,RPDGO0,200,ATIVO,,SIM,10,-8.634433664620282,41.17433138047036,POINT (-8.634433664620282 41.17433138047036)
159,159,200,RSCAR0,205,ATIVO,,SIM,10,-8.609364830535949,41.14316821915608,POINT (-8.609364830535949 41.14316821915608)
160,160,209,RDFVS0,214,ATIVO,,SIM,10,-8.594558170153324,41.177055984019184,POINT (-8.594558170153324 41.177055984019184)
161,161,197,PELIB0,202,ATIVO,,SIM,10,-8.625198062507588,41.16663040347402,POINT (-8.625198062507588 41.16663040347402)
162,162,214,Avenida de D. Carlos I,17,ATIVO,NAO,SIM,10,-8.674832833198009,41.148151508942426,POINT (-8.674832833198009 41.148151508942426)
163,163,6,AFMAG0,7,ATIVO,,SIM,10,-8.588441731680328,41.16555868412268,POINT (-8.588441731680328 41.16555868412268)
164,164,4,RJMPI0,5,ATIVO,,SIM,10,-8.582526399410973,41.159802150430565,POINT (-8.582526399410973 41.159802150430565)
165,165,99,Rua de Diogo Botelho,101,ATIVO,NAO,SIM,10,-8.671428371995301,41.15383531548616,POINT (-8.671428371995301 41.15383531548616)
166,166,20,Via do Castelo do Queijo,23,ATIVO,NAO,SIM,10,-8.688396746409325,41.17264998555071,POINT (-8.688396746409325 41.17264998555071)
167,167,21,Avenida de Montevideu,24,ATIVO,NAO,SIM,10,-8.687839702937518,41.166750462267615,POINT (-8.687839702937518 41.166750462267615)
